Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
34.062525280,0,0,0,0,0,0,0,0
34.062529760,0,1,0,1,0,0,0,0
34.062552640,0,1,0,1,0,0,1,0
34.062558080,0,0,0,0,0,0,1,0
34.062575200,0,0,0,0,0,0,0,0
34.062579680,0,1,0,1,0,0,0,0
34.062602560,0,1,0,1,0,0,1,0
34.062608000,0,0,0,0,0,0,1,0
34.062625120,0,0,0,0,0,0,0,0
34.062629600,0,1,0,1,0,0,0,0
34.062652480,0,1,0,1,0,0,1,0
34.062657920,0,0,0,0,0,0,1,0
34.062675040,0,0,0,0,0,0,0,0
34.062679520,0,1,0,1,0,0,0,0
34.062702400,0,1,0,1,0,0,1,0
34.062707840,0,0,0,0,0,0,1,0
34.062724960,0,0,0,0,0,0,0,0
34.062729440,0,1,0,1,0,0,0,0
34.062752320,0,1,0,1,0,0,1,0
34.062757760,0,0,0,0,0,0,1,0
34.062774880,0,0,0,0,0,0,0,0
34.062779360,0,1,0,1,0,0,0,0
34.062802240,0,1,0,1,0,0,1,0
34.062807680,0,0,0,0,0,0,1,0
34.062824800,0,0,0,0,0,0,0,0
34.062829280,0,1,0,1,0,0,0,0
34.062852160,0,1,0,1,0,0,1,0
34.062857600,0,0,0,0,0,0,1,0
34.062874720,0,0,0,0,0,0,0,0
34.062879200,0,1,0,1,0,0,0,0
34.062902080,0,1,0,1,0,0,1,0
34.062907520,0,0,0,0,0,0,1,0
34.062924640,0,0,0,0,0,0,0,0
34.062929120,0,1,0,1,0,0,0,0
34.062952000,0,1,0,1,0,0,1,0
34.062957440,0,0,0,0,0,0,1,0
34.062974560,0,0,0,0,0,0,0,0
34.062979040,0,1,0,1,0,0,0,0
34.063001920,0,1,0,1,0,0,1,0
34.063007360,0,0,0,0,0,0,1,0
34.063024480,0,0,0,0,0,0,0,0
34.063028960,0,1,0,1,0,0,0,0
34.063051840,0,1,0,1,0,0,1,0
34.063057280,0,0,0,0,0,0,1,0
34.063074400,0,0,0,0,0,0,0,0
34.063078880,0,1,0,1,0,0,0,0
34.063101760,0,1,0,1,0,0,1,0
34.063107200,0,0,0,0,0,0,1,0
34.063124320,0,0,0,0,0,0,0,0
34.063128800,0,1,0,1,0,0,0,0
34.063151680,0,1,0,1,0,0,1,0
34.063157120,0,0,0,0,0,0,1,0
34.063174240,0,0,0,0,0,0,0,0
34.063178720,0,1,0,1,0,0,0,0
34.063201600,0,1,0,1,0,0,1,0
34.063207040,0,0,0,0,0,0,1,0
34.063224160,0,0,0,0,0,0,0,0
34.063228640,0,1,0,1,0,0,0,0
34.063251520,0,1,0,1,0,0,1,0
34.063256960,0,0,0,0,0,0,1,0
34.063274080,0,0,0,0,0,0,0,0
34.063278560,0,1,0,1,0,0,0,0
34.063301440,0,1,0,1,0,0,1,0
34.063306880,0,0,0,0,0,0,1,0
34.063324000,0,0,0,0,0,0,0,0
34.063328480,0,1,0,1,0,0,0,0
34.063351360,0,1,0,1,0,0,1,0
34.063356800,0,0,0,0,0,0,1,0
34.063373920,0,0,0,0,0,0,0,0
34.063378400,0,1,0,1,0,0,0,0
34.063401280,0,1,0,1,0,0,1,0
34.063406720,0,0,0,0,0,0,1,0
34.063423840,0,0,0,0,0,0,0,0
34.063428320,0,1,0,1,0,0,0,0
34.063451040,0,1,0,1,0,0,1,0
34.063456640,0,0,0,0,0,0,1,0
34.063473760,0,0,0,0,0,0,0,0
34.063478240,0,1,0,1,0,0,0,0
34.063500960,0,1,0,1,0,0,1,0
34.063506560,0,0,0,0,0,0,1,0
34.063523680,0,0,0,0,0,0,0,0
34.063528160,0,1,0,1,0,0,0,0
34.063550880,0,1,0,1,0,0,1,0
34.063556480,0,0,0,0,0,0,1,0
34.063573600,0,0,0,0,0,0,0,0
34.063578080,0,1,0,1,0,0,0,0
34.063600800,0,1,0,1,0,0,1,0
34.063606400,0,0,0,0,0,0,1,0
34.063623520,0,0,0,0,0,0,0,0
34.063628000,0,1,0,1,0,0,0,0
34.063650720,0,1,0,1,0,0,1,0
34.063656320,0,0,0,0,0,0,1,0
34.063673440,0,0,0,0,0,0,0,0
34.063677920,0,1,0,1,0,0,0,0
34.063700640,0,1,0,1,0,0,1,0
34.063706240,0,0,0,0,0,0,1,0
34.063723200,0,0,0,0,0,0,0,0
34.063727840,0,1,0,1,0,0,0,0
34.063750560,0,1,0,1,0,0,1,0
34.063756160,0,0,0,0,0,0,1,0
34.063773120,0,0,0,0,0,0,0,0
34.063777760,0,1,0,1,0,0,0,0
34.063800480,0,1,0,1,0,0,1,0
34.063806080,0,0,0,0,0,0,1,0
34.063823040,0,0,0,0,0,0,0,0
34.063827680,0,1,0,1,0,0,0,0
34.063850400,0,1,0,1,0,0,1,0
34.063856000,0,0,0,0,0,0,1,0
34.063872960,0,0,0,0,0,0,0,0
34.063877600,0,1,0,1,0,0,0,0
34.063900320,0,1,0,1,0,0,1,0
34.063905760,0,0,0,0,0,0,1,0
34.063922880,0,0,0,0,0,0,0,0
34.063927520,0,1,0,1,0,0,0,0
34.063950240,0,1,0,1,0,0,1,0
34.063955680,0,0,0,0,0,0,1,0
34.063972800,0,0,0,0,0,0,0,0
34.063977440,0,1,0,1,0,0,0,0
34.064000160,0,1,0,1,0,0,1,0
34.064005600,0,0,0,0,0,0,1,0
34.064022720,0,0,0,0,0,0,0,0
34.064027200,0,1,0,1,0,0,0,0
34.064050080,0,1,0,1,0,0,1,0
34.064055520,0,0,0,0,0,0,1,0
34.064072640,0,0,0,0,0,0,0,0
34.064077120,0,1,0,1,0,0,0,0
34.064100000,0,1,0,1,0,0,1,0
34.064105440,0,0,0,0,0,0,1,0
34.064122560,0,0,0,0,0,0,0,0
34.064127040,0,1,0,1,0,0,0,0
34.064149920,0,1,0,1,0,0,1,0
34.064155360,0,0,0,0,0,0,1,0
34.064172480,0,0,0,0,0,0,0,0
34.064176960,0,1,0,1,0,0,0,0
34.064199840,0,1,0,1,0,0,1,0
34.064205280,0,0,0,0,0,0,1,0
34.064222400,0,0,0,0,0,0,0,0
34.064226880,0,1,0,1,0,0,0,0
34.064249760,0,1,0,1,0,0,1,0
34.064255200,0,0,0,0,0,0,1,0
34.064272320,0,0,0,0,0,0,0,0
34.064276800,0,1,0,1,0,0,0,0
34.064299680,0,1,0,1,0,0,1,0
34.064305120,0,0,0,0,0,0,1,0
34.064322240,0,0,0,0,0,0,0,0
34.064326720,0,1,0,1,0,0,0,0
34.064349440,0,1,0,1,0,0,1,0
34.064355040,0,0,0,0,0,0,1,0
34.064372160,0,0,0,0,0,0,0,0
34.064376640,0,1,0,1,0,0,0,0
34.064399360,0,1,0,1,0,0,1,0
34.064404960,0,0,0,0,0,0,1,0
34.064422080,0,0,0,0,0,0,0,0
34.064426560,0,1,0,1,0,0,0,0
34.064449280,0,1,0,1,0,0,1,0
34.064454880,0,0,0,0,0,0,1,0
34.064472000,0,0,0,0,0,0,0,0
34.064476480,0,1,0,1,0,0,0,0
34.064499200,0,1,0,1,0,0,1,0
34.064504800,0,0,0,0,0,0,1,0
34.064521760,0,0,0,0,0,0,0,0
34.064526400,0,1,0,1,0,0,0,0
34.064549120,0,1,0,1,0,0,1,0
34.064554720,0,0,0,0,0,0,1,0
34.064571680,0,0,0,0,0,0,0,0
34.064576320,0,1,0,1,0,0,0,0
34.064599040,0,1,0,1,0,0,1,0
34.064604480,0,0,0,0,0,0,1,0
34.064621600,0,0,0,0,0,0,0,0
34.064626240,0,1,0,1,0,0,0,0
34.064648960,0,1,0,1,0,0,1,0
34.064654400,0,0,0,0,0,0,1,0
34.064671520,0,0,0,0,0,0,0,0
34.064676160,0,1,0,1,0,0,0,0
34.064698880,0,1,0,1,0,0,1,0
34.064704320,0,0,0,0,0,0,1,0
34.064721440,0,0,0,0,0,0,0,0
34.064725920,0,1,0,1,0,0,0,0
34.064748800,0,1,0,1,0,0,1,0
34.064754240,0,0,0,0,0,0,1,0
34.064771360,0,0,0,0,0,0,0,0
34.064775840,0,1,0,1,0,0,0,0
34.064798720,0,1,0,1,0,0,1,0
34.064804160,0,0,0,0,0,0,1,0
34.064821280,0,0,0,0,0,0,0,0
34.064825760,0,1,0,1,0,0,0,0
34.064848640,0,1,0,1,0,0,1,0
34.064854080,0,0,0,0,0,0,1,0
34.064871200,0,0,0,0,0,0,0,0
34.064875680,0,1,0,1,0,0,0,0
34.064898560,0,1,0,1,0,0,1,0
34.064904000,0,0,0,0,0,0,1,0
34.064921120,0,0,0,0,0,0,0,0
34.064925600,0,1,0,1,0,0,0,0
34.064948480,0,1,0,1,0,0,1,0
34.064953920,0,0,0,0,0,0,1,0
34.064971040,0,0,0,0,0,0,0,0
34.064975520,0,1,0,1,0,0,0,0
34.064998400,0,1,0,1,0,0,1,0
34.065003840,0,0,0,0,0,0,1,0
34.065020960,0,0,0,0,0,0,0,0
34.065025440,0,1,0,1,0,0,0,0
34.065048320,0,1,0,1,0,0,1,0
34.065053760,0,0,0,0,0,0,1,0
34.065070880,0,0,0,0,0,0,0,0
34.065075360,0,1,0,1,0,0,0,0
34.065098240,0,1,0,1,0,0,1,0
34.065103680,0,0,0,0,0,0,1,0
